Trait Number,Trait Name,Scenario,Question number,Decision Statement,Decision Statement Value
1,Customer-Centric ,Understanding Customer Challenge,1,"""I rely on deep experience to understand potential customer challenges.""",1
1,Customer-Centric ,Understanding Customer Challenge,1,"""I validate my grasp of customer challenges by discussing problems and solutions with a small group.""",2
1,Customer-Centric ,Understanding Customer Challenge,1,"""I use quick surveys or discussions with a larger group of potential customers to validate challenges.""",3
1,Customer-Centric ,Understanding Customer Challenge,1,"""I actively seek to understand and respond to customer challenges, validating my solution with them.""",4
1,Customer-Centric ,Understanding Customer Challenge,1,"""I actively explore my customers' challenges through in-depth discussions without presenting my solution.""",5
1,Customer-Centric ,Validating products and services,5,"""I build my products or services first, inviting customer feedback.""",1
1,Customer-Centric ,Validating products and services,5,"""I occasionally collect feedback during validation but remain confident in my understanding of customer needs.""",2
1,Customer-Centric ,Validating products and services,5,"""I actively seek customer input in validation, recognizing the need for improvement in incorporating insights.""",3
1,Customer-Centric ,Validating products and services,5,"""Customer validation is crucial; I consistently gather and use feedback to refine offerings.""",4
1,Customer-Centric ,Validating products and services,5,"""I involve customers in the development process to ensure consideration of their needs.""",5
1,Customer-Centric ,Customer-retention,9,"""I acknowledge customers may discontinue our services upon achieving their goals or due to a lack of commitment.""",1
1,Customer-Centric ,Customer-retention,9,"""While valuing customer retention, I find obtaining feedback from disengaged customers time-consuming.""",2
1,Customer-Centric ,Customer-retention,9,"""I occasionally seek reasons for customers stopping our service, lacking a consistent approach.""",3
1,Customer-Centric ,Customer-retention,9,"""I prioritize customer retention, consistently implementing effective strategies for satisfaction.""",4
1,Customer-Centric ,Customer-retention,9,"""I go above and beyond with retention strategies to ensure long-term customer satisfaction and loyalty.""",5
2,Collaborative,Conflict of ideas or approaches,2,"""I usually handle conflict of ideas by myself to favor progress.""",1
2,Collaborative,Conflict of ideas or approaches,2,"""I often prioritize my ideas during conflicts but need a convincing argument to change my approach.""",2
2,Collaborative,Conflict of ideas or approaches,2,"""I occasionally consider input from others and try to reach common ground when conflict arises.""",3
2,Collaborative,Conflict of ideas or approaches,2,"""I actively engage in collaborative discussions and seek common ground in idea conflicts.""",4
2,Collaborative,Conflict of ideas or approaches,2,"""I value diverse opinions and encourage collaboration for best results in idea conflicts.""",5
2,Collaborative,Shared Responsibility,6,"""I believe I'm the right person to do the job, and I'll seek help when needed.""",1
2,Collaborative,Shared Responsibility,6,"""While breaking down responsibilities, I tend to take on more parts than my team.""",2
2,Collaborative,Shared Responsibility,6,"""I advocate for fair distribution of responsibilities within the team, including myself.""",3
2,Collaborative,Shared Responsibility,6,"""I offer team members the chance to take on more responsibilities, and I handle what remains.""",4
2,Collaborative,Shared Responsibility,6,"""I distribute as close to 100% responsibilities towards my team as possible.""",5
2,Collaborative,Inclusive Decision making,8,"""I consult with a select few people who will likely support my decisions.""",1
2,Collaborative,Inclusive Decision making,8,"""I engage both close contacts and experts in decision-making, but I am selective in accepting opinions.""",2
2,Collaborative,Inclusive Decision making,8,"""I value inclusive decision-making, seeking input, but can improve capturing and understanding others' opinions.""",3
2,Collaborative,Inclusive Decision making,8,"""I actively involve others in decision-making, valuing opposing opinions and seeking input from team members.""",4
2,Collaborative,Inclusive Decision making,8,"""I foster an environment of collective decision-making for optimal outcomes.""",5
3,Agile,Rapid Decision-Making,3,"""I take whatever time is required to gain clarity before deciding on my activities when the decision isn't clear to me.""",1
3,Agile,Rapid Decision-Making,3,"""I occasionally spend more time on decisions to my satisfaction but actively seek guidance from others in the process.""",2
3,Agile,Rapid Decision-Making,3,"""I like making quick decisions and seek guidance from knowledgeable individuals in my network when in doubt.""",3
3,Agile,Rapid Decision-Making,3,"""I seek quick decision-making with or without help and prompt responses to opportunities or challenges in my endeavors.""",4
3,Agile,Rapid Decision-Making,3,"""I make quick decisions, consistently fostering quick and adaptive decision-making as a core strength.""",5
